,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0015634285714285,0.0005451428571428,2.0000000000000003e-06,2.91,16.2,2.75
1,0.0015634285714285,0.0005451428571428,3.0285714285714288e-05,2.95,17.6,2.85
2,0.0015634285714285,0.0005451428571428,5.8571428571428575e-05,3.08,18,3.38
3,0.0015634285714285,0.0005451428571428,8.685714285714286e-05,3.01,16.7,2.95
4,0.0015634285714285,0.0005451428571428,0.0001151428571428,2.9,16.2,3.02
5,0.0015634285714285,0.0005451428571428,0.0001434285714285,3.04,15.3,3.09
6,0.0015634285714285,0.0005451428571428,0.0001717142857142,3.02,16.8,2.88
7,0.0015634285714285,0.0005451428571428,0.0002,3.1,16.9,3.6
8,0.0015634285714285,0.0010542857142857,2.0000000000000003e-06,2.54,15.3,3.56
9,0.0015634285714285,0.0010542857142857,3.0285714285714288e-05,2.5,15.3,3.54
10,0.0015634285714285,0.0010542857142857,5.8571428571428575e-05,2.46,14.3,3.41
11,0.0015634285714285,0.0010542857142857,8.685714285714286e-05,2.67,15.2,4.13
12,0.0015634285714285,0.0010542857142857,0.0001151428571428,2.73,16.3,4.01
13,0.0015634285714285,0.0010542857142857,0.0001434285714285,2.82,15.8,4.65
14,0.0015634285714285,0.0010542857142857,0.0001717142857142,2.76,16.9,4
15,0.0015634285714285,0.0010542857142857,0.0002,2.67,16.4,3.73
16,0.0015634285714285,0.0015634285714285,2.0000000000000003e-06,2.31,14,4.76
17,0.0015634285714285,0.0015634285714285,3.0285714285714288e-05,2.15,11.8,3.76
18,0.0015634285714285,0.0015634285714285,5.8571428571428575e-05,2.18,12.3,3.99
19,0.0015634285714285,0.0015634285714285,8.685714285714286e-05,2.35,14.3,4.83
20,0.0015634285714285,0.0015634285714285,0.0001151428571428,2.43,15,4.98
21,0.0015634285714285,0.0015634285714285,0.0001434285714285,2.32,12.6,4.38
22,0.0015634285714285,0.0015634285714285,0.0001717142857142,2.42,14.9,4.85
23,0.0015634285714285,0.0015634285714285,0.0002,2.37,13.7,3.97
24,0.0015634285714285,0.0020725714285714,2.0000000000000003e-06,2.05,11.9,4.78
25,0.0015634285714285,0.0020725714285714,3.0285714285714288e-05,2.02,12.2,4.67
26,0.0015634285714285,0.0020725714285714,5.8571428571428575e-05,1.99,11.3,4.41
27,0.0015634285714285,0.0020725714285714,8.685714285714286e-05,2.1,12,4.54
28,0.0015634285714285,0.0020725714285714,0.0001151428571428,2.19,13,5.17
29,0.0015634285714285,0.0020725714285714,0.0001434285714285,2.14,12,4.87
30,0.0015634285714285,0.0020725714285714,0.0001717142857142,2.13,12.8,4.82
31,0.0015634285714285,0.0020725714285714,0.0002,2.31,13.6,5.17
32,0.0015634285714285,0.0025817142857142,2.0000000000000003e-06,1.94,11.7,5.33
33,0.0015634285714285,0.0025817142857142,3.0285714285714288e-05,1.93,12.3,4.96
34,0.0015634285714285,0.0025817142857142,5.8571428571428575e-05,1.84,10.4,4.57
35,0.0015634285714285,0.0025817142857142,8.685714285714286e-05,2.01,11.4,5.42
36,0.0015634285714285,0.0025817142857142,0.0001151428571428,2.05,12.1,5.24
37,0.0015634285714285,0.0025817142857142,0.0001434285714285,2.15,10.9,5.5
38,0.0015634285714285,0.0025817142857142,0.0001717142857142,1.94,11.7,4.95
39,0.0015634285714285,0.0025817142857142,0.0002,1.99,11.6,4.82
40,0.0015634285714285,0.0030908571428571,2.0000000000000003e-06,1.77,10.1,5.25
41,0.0015634285714285,0.0030908571428571,3.0285714285714288e-05,1.81,10.6,5.21
42,0.0015634285714285,0.0030908571428571,5.8571428571428575e-05,1.74,10.4,5.09
43,0.0015634285714285,0.0030908571428571,8.685714285714286e-05,1.75,10.3,4.85
44,0.0015634285714285,0.0030908571428571,0.0001151428571428,1.96,11.9,5.79
45,0.0015634285714285,0.0030908571428571,0.0001434285714285,1.76,9.42,4.73
46,0.0015634285714285,0.0030908571428571,0.0001717142857142,1.96,11.4,5.79
47,0.0015634285714285,0.0030908571428571,0.0002,1.86,10.8,4.92
48,0.0015634285714285,0.0036,2.0000000000000003e-06,1.73,9.82,5.86
49,0.0015634285714285,0.0036,3.0285714285714288e-05,1.55,9.23,5.42
