,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0015634285714285,0.0036,5.8571428571428575e-05,1.69,10.4,5.82
1,0.0015634285714285,0.0036,8.685714285714286e-05,2.25,14,7.32
2,0.0015634285714285,0.0036,0.0001151428571428,2.35,13.9,7.66
3,0.0015634285714285,0.0036,0.0001434285714285,1.97,11.1,6.93
4,0.0015634285714285,0.0036,0.0001717142857142,2.54,15.4,8.44
5,0.0015634285714285,0.0036,0.0002,3.03,18.1,9.8
6,0.0020725714285714,3.6e-05,2.0000000000000003e-06,3.62,20.6,2.27
7,0.0020725714285714,3.6e-05,3.0285714285714288e-05,3.67,21.1,2.28
8,0.0020725714285714,3.6e-05,5.8571428571428575e-05,3.62,20.8,2.37
9,0.0020725714285714,3.6e-05,8.685714285714286e-05,3.59,19.3,2.49
10,0.0020725714285714,3.6e-05,0.0001151428571428,3.64,19.4,2.56
11,0.0020725714285714,3.6e-05,0.0001434285714285,3.58,19.8,2.46
12,0.0020725714285714,3.6e-05,0.0001717142857142,3.6,19.2,2.37
13,0.0020725714285714,3.6e-05,0.0002,3.62,19.2,2.69
14,0.0020725714285714,0.0005451428571428,2.0000000000000003e-06,2.82,16.6,2.92
15,0.0020725714285714,0.0005451428571428,3.0285714285714288e-05,2.9,16.5,2.52
16,0.0020725714285714,0.0005451428571428,5.8571428571428575e-05,2.87,17,2.98
17,0.0020725714285714,0.0005451428571428,8.685714285714286e-05,2.98,17.3,3.48
18,0.0020725714285714,0.0005451428571428,0.0001151428571428,2.92,17,2.95
19,0.0020725714285714,0.0005451428571428,0.0001434285714285,2.98,16.9,2.85
20,0.0020725714285714,0.0005451428571428,0.0001717142857142,2.98,16.3,3.08
21,0.0020725714285714,0.0005451428571428,0.0002,3.27,18.2,3.66
22,0.0020725714285714,0.0010542857142857,2.0000000000000003e-06,2.35,13.7,3.29
23,0.0020725714285714,0.0010542857142857,3.0285714285714288e-05,2.4,13.6,2.92
24,0.0020725714285714,0.0010542857142857,5.8571428571428575e-05,2.47,15.7,3.3
25,0.0020725714285714,0.0010542857142857,8.685714285714286e-05,2.56,15.1,3.27
26,0.0020725714285714,0.0010542857142857,0.0001151428571428,2.6,15.8,3.63
27,0.0020725714285714,0.0010542857142857,0.0001434285714285,2.69,16.8,3.6
28,0.0020725714285714,0.0010542857142857,0.0001717142857142,2.59,14,3.04
29,0.0020725714285714,0.0010542857142857,0.0002,3.01,17.2,5.4
30,0.0020725714285714,0.0015634285714285,2.0000000000000003e-06,2.12,12.5,3.56
31,0.0020725714285714,0.0015634285714285,3.0285714285714288e-05,2.38,15.3,4.75
32,0.0020725714285714,0.0015634285714285,5.8571428571428575e-05,2.24,13.1,3.85
33,0.0020725714285714,0.0015634285714285,8.685714285714286e-05,2.23,13.3,3.81
34,0.0020725714285714,0.0015634285714285,0.0001151428571428,2.19,13.5,4.07
35,0.0020725714285714,0.0015634285714285,0.0001434285714285,2.32,15,4.39
36,0.0020725714285714,0.0015634285714285,0.0001717142857142,2.95,17.7,6.38
37,0.0020725714285714,0.0015634285714285,0.0002,2.31,13.7,4.37
38,0.0020725714285714,0.0020725714285714,2.0000000000000003e-06,1.98,12.8,4.53
39,0.0020725714285714,0.0020725714285714,3.0285714285714288e-05,2.1,13.5,5.12
40,0.0020725714285714,0.0020725714285714,5.8571428571428575e-05,1.99,11.8,4.28
41,0.0020725714285714,0.0020725714285714,8.685714285714286e-05,2.18,13.8,5.4
42,0.0020725714285714,0.0020725714285714,0.0001151428571428,1.97,12.2,4.37
43,0.0020725714285714,0.0020725714285714,0.0001434285714285,2.03,12.2,4.38
44,0.0020725714285714,0.0020725714285714,0.0001717142857142,2.42,15.4,5.75
45,0.0020725714285714,0.0020725714285714,0.0002,2.49,14.5,6.32
46,0.0020725714285714,0.0025817142857142,2.0000000000000003e-06,1.97,12.9,5.38
47,0.0020725714285714,0.0025817142857142,3.0285714285714288e-05,2.13,13.4,6.01
48,0.0020725714285714,0.0025817142857142,5.8571428571428575e-05,1.98,12.5,5.45
49,0.0020725714285714,0.0025817142857142,8.685714285714286e-05,1.87,10.9,4.67
