,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,3.6e-05,0.0030908571428571,5.8571428571428575e-05,2.99,18,8.72
1,3.6e-05,0.0030908571428571,8.685714285714286e-05,3.68,22.8,9.89
2,3.6e-05,0.0030908571428571,0.0001151428571428,2.44,14.5,7.04
3,3.6e-05,0.0030908571428571,0.0001434285714285,2.71,15.1,7.96
4,3.6e-05,0.0030908571428571,0.0001717142857142,3.42,17.8,9.63
5,3.6e-05,0.0030908571428571,0.0002,2.54,13.3,7.49
6,3.6e-05,0.0036,2.0000000000000003e-06,2.27,13.6,7.8
7,3.6e-05,0.0036,3.0285714285714288e-05,2.11,12.3,6.99
8,3.6e-05,0.0036,5.8571428571428575e-05,1.81,10.2,6.33
9,3.6e-05,0.0036,8.685714285714286e-05,2.17,12.3,7.46
10,3.6e-05,0.0036,0.0001151428571428,2.19,12.5,7.34
11,3.6e-05,0.0036,0.0001434285714285,2.22,12.7,7.5
12,3.6e-05,0.0036,0.0001717142857142,3.64,22.8,11.6
13,3.6e-05,0.0036,0.0002,2.75,16.5,8.99
14,0.0005451428571428,3.6e-05,2.0000000000000003e-06,3.73,21.4,2.58
15,0.0005451428571428,3.6e-05,3.0285714285714288e-05,3.82,19.7,2.63
16,0.0005451428571428,3.6e-05,5.8571428571428575e-05,3.8,21.3,2.63
17,0.0005451428571428,3.6e-05,8.685714285714286e-05,3.87,22.4,2.96
18,0.0005451428571428,3.6e-05,0.0001151428571428,3.74,19,2.71
19,0.0005451428571428,3.6e-05,0.0001434285714285,3.87,19.7,3.18
20,0.0005451428571428,3.6e-05,0.0001717142857142,3.86,21.9,3.01
21,0.0005451428571428,3.6e-05,0.0002,4.03,23.2,3.3
22,0.0005451428571428,0.0005451428571428,2.0000000000000003e-06,3.34,20.1,4.7
23,0.0005451428571428,0.0005451428571428,3.0285714285714288e-05,3.21,19.2,3.85
24,0.0005451428571428,0.0005451428571428,5.8571428571428575e-05,3.11,18.8,3.37
25,0.0005451428571428,0.0005451428571428,8.685714285714286e-05,3.18,18.3,3.92
26,0.0005451428571428,0.0005451428571428,0.0001151428571428,3.17,17,3.46
27,0.0005451428571428,0.0005451428571428,0.0001434285714285,3.33,18.3,3.54
28,0.0005451428571428,0.0005451428571428,0.0001717142857142,3.38,20,4.62
29,0.0005451428571428,0.0005451428571428,0.0002,3.31,17.7,3.52
30,0.0005451428571428,0.0010542857142857,2.0000000000000003e-06,2.77,15.8,4.64
31,0.0005451428571428,0.0010542857142857,3.0285714285714288e-05,2.8,15.8,4.71
32,0.0005451428571428,0.0010542857142857,5.8571428571428575e-05,2.69,15,4.52
33,0.0005451428571428,0.0010542857142857,8.685714285714286e-05,3.55,19.8,6.71
34,0.0005451428571428,0.0010542857142857,0.0001151428571428,2.9,16,4.46
35,0.0005451428571428,0.0010542857142857,0.0001434285714285,3.74,22.2,6.62
36,0.0005451428571428,0.0010542857142857,0.0001717142857142,3.1,17.9,5.21
37,0.0005451428571428,0.0010542857142857,0.0002,3.07,17.8,4.93
38,0.0005451428571428,0.0015634285714285,2.0000000000000003e-06,2.71,16.4,6.23
39,0.0005451428571428,0.0015634285714285,3.0285714285714288e-05,2.51,14.1,5.51
40,0.0005451428571428,0.0015634285714285,5.8571428571428575e-05,2.87,16.9,6.56
41,0.0005451428571428,0.0015634285714285,8.685714285714286e-05,2.41,14.7,4.84
42,0.0005451428571428,0.0015634285714285,0.0001151428571428,2.26,12.6,4.16
43,0.0005451428571428,0.0015634285714285,0.0001434285714285,2.34,12.9,4.29
44,0.0005451428571428,0.0015634285714285,0.0001717142857142,2.37,12.2,4.66
45,0.0005451428571428,0.0015634285714285,0.0002,2.49,13.1,4.89
46,0.0005451428571428,0.0020725714285714,2.0000000000000003e-06,2.58,15.6,7.11
47,0.0005451428571428,0.0020725714285714,3.0285714285714288e-05,2.47,14.9,6.32
48,0.0005451428571428,0.0020725714285714,5.8571428571428575e-05,2.39,13.9,6.22
49,0.0005451428571428,0.0020725714285714,8.685714285714286e-05,3.21,19.7,8.04
